anchor_id,anchor_title,anchor_year,anchor_tag,anchor_crew_count,rank,neighbor_id,neighbor_title,neighbor_year,cosine_sim,shared_crew_count,shared_crew_sample,label,notes
tt0468569,The Dark Knight,2008,blockbuster,23,1,tt0770828,Man of Steel,2013,0.9789,5,Charles Roven; Christopher Nolan; David S. Goyer; Emma Thomas; Hans Zimmer,relevant,
tt0468569,The Dark Knight,2008,blockbuster,23,2,tt0372784,Batman Begins,2005,0.9678,14,Gary Oldman; Hans Zimmer; James Newton Howard; Michael Caine; Wally Pfister,relevant,
tt0468569,The Dark Knight,2008,blockbuster,23,3,tt0193364,The Order,2001,0.9673,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,4,tt0100916,Whatever Happened to Mason Reese,1990,0.9655,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,5,tt0455856,When Worlds Collide,\\N,0.9635,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,6,tt0770752,Fool's Gold,2008,0.9633,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,7,tt14415204,Never Let Go,2024,0.9625,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,8,tt0890885,Saturno contro,2007,0.9617,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,9,tt0255653,Tortilla Soup,2001,0.9617,0,,irrelevant,
tt0468569,The Dark Knight,2008,blockbuster,23,10,tt1797601,Pilot,2011,0.9593,0,,irrelevant,
tt1375666,Inception,2010,blockbuster,17,1,tt0209144,Memento,2000,0.9809,2,Christopher Nolan; Wally Pfister,relevant,
tt1375666,Inception,2010,blockbuster,17,2,tt1790736,Inception: The Cobol Job,2010,0.9788,4,Christopher Nolan; Hans Zimmer; Joseph Gordon-Levitt; Leonardo DiCaprio,relevant,
tt1375666,Inception,2010,blockbuster,17,3,tt0154506,Following,1998,0.9686,2,Christopher Nolan; Emma Thomas,relevant,
tt1375666,Inception,2010,blockbuster,17,4,tt1196948,The Necessary Death of Charlie Countryman,2013,0.9685,0,,irrelevant,
